id,text,sentiment,domain
1,आज मागवलेल्या पुस्तकाची छपाई आणि बांधणी दोन्ही उत्कृष्ट निघाली.,Positive,ऑनलाइन व्यापार
2,जेवणात मिठाचे प्रमाण इतके जास्त होते की चवच बिघडली.,Negative,उपाहारगृह
3,या चित्रपटाचा दुसरा भाग पुढील महिन्यात प्रदर्शित होणार आहे.,Neutral,चित्रपट
4,उपचारानंतर माझी प्रकृती अपेक्षेपेक्षा लवकर सुधारली.,Positive,आरोग्यसेवा
5,प्रयोगशाळेतील अनेक उपकरणे आज बंद असल्यामुळे सराव होऊ शकला नाही.,Negative,शिक्षण
6,नवीन प्रणालीची चाचणी सध्या मर्यादित वापरकर्त्यांसाठी सुरू आहे.,Neutral,तंत्रज्ञान
7,बँकेतील कर्मचाऱ्यांनी माझे काम अत्यंत संयमाने पूर्ण केले.,Positive,बँकिंग
8,पर्यटनस्थळी सर्वत्र कचरा दिसल्याने अनुभव खराब झाला.,Negative,प्रवास
9,अंतिम सामन्याची वेळ उद्या सायंकाळी जाहीर करण्यात आली आहे.,Neutral,क्रीडा
10,स्थानिक प्रतिनिधींनी नागरिकांच्या समस्या शांतपणे ऐकून घेतल्या.,Positive,राजकारण
11,कार्यक्रमाची ध्वनीव्यवस्था वारंवार बंद पडत होती.,Negative,मनोरंजन
12,माझ्या तक्रारीचा संदर्भ क्रमांक संदेशाद्वारे पाठवण्यात आला.,Neutral,ग्राहक सेवा
13,मित्रांनी वाढदिवसासाठी केलेले छोटंसं सरप्राईज मनाला भिडलं.,Positive,सामाजिक माध्यमे
14,दाखला मिळवण्यासाठी अनावश्यक फेऱ्या माराव्या लागल्या.,Negative,सरकारी सेवा
15,कृषी विभागाने आज नवीन बियाण्यांविषयी मार्गदर्शन केले.,Neutral,शेती
16,या पारंपरिक पोशाखामुळे सणाची रंगत आणखी वाढली.,Positive,वेशभूषा
17,पॅकेट उघडल्यावर अन्न पूर्णपणे सांडलेले दिसले.,Negative,अन्न वितरण
18,सकाळच्या पहिल्या बसचे वेळापत्रक बदलण्यात आले आहे.,Neutral,सार्वजनिक वाहतूक
19,या ॲपमधील नवीन सुविधा वापरण्यास अतिशय सोपी वाटली.,Positive,मोबाईल अॅप्स
20,सवलत दाखवूनही बिलात जास्त रक्कम आकारली गेली.,Negative,ऑनलाइन खरेदी
21,चित्रपटगृहातील पहिला शो दुपारी बारा वाजता सुरू होईल.,Neutral,चित्रपट
22,डॉक्टरांनी दिलेल्या व्यायामामुळे पाठदुखी कमी झाली.,Positive,आरोग्यसेवा
23,परीक्षेचा निकाल वेळेवर न लागल्याने विद्यार्थी संभ्रमात होते.,Negative,शिक्षण
24,सर्व्हरच्या देखभालीमुळे सेवा काही तास उपलब्ध राहणार नाही.,Neutral,तंत्रज्ञान
25,गृहकर्जाच्या प्रक्रियेत अपेक्षेपेक्षा कमी वेळ लागला.,Positive,बँकिंग
26,हॉटेलच्या खोलीत स्वच्छतेचा पूर्ण अभाव जाणवला.,Negative,प्रवास
27,संघाच्या सरावाचे वेळापत्रक प्रशिक्षकांनी बदलले आहे.,Neutral,क्रीडा
28,चर्चेदरम्यान दोन्ही बाजूंनी सकारात्मक संवाद झाला.,Positive,राजकारण
29,तिकीट असूनही आसनावर दुसऱ्याच व्यक्तीचा ताबा होता.,Negative,मनोरंजन
30,प्रतिनिधीने पुढील कार्यवाहीबद्दल स्पष्ट माहिती दिली.,Neutral,ग्राहक सेवा
31,माझ्या छायाचित्रावर आलेल्या शुभेच्छांनी दिवस आनंदी झाला.,Positive,सामाजिक माध्यमे
32,ऑनलाइन अर्ज वारंवार अर्धवटच जतन होत होता.,Negative,सरकारी सेवा
33,आज गावात शेतीविषयक कार्यशाळा आयोजित करण्यात आली.,Neutral,शेती
34,या साडीवरील नक्षीकाम खरोखरच आकर्षक आहे.,Positive,वेशभूषा
