id,Label,clean_tweet_v2
1,-1,मध्ये करत खरंच करत हेच कळत राव
2,-1,अबे येड्या कळतो तुला
3,-1,बरं झालं लिहिले आजच बावनकुळे असते तुमचे
4,-1,किव्वा चे द्यावे नमो च्या नावाने आहेच विमानतळ सुद्धा होऊन जाऊदे आम्ही सुद्धा तुमच्या सारखे जोक्स मरतो राव
5,-1,वी नापास नांगरगठ्ठ्या देशाचा पंतप्रधान होऊन बसलाय तोच विज्ञान तंत्रज्ञान विभागाचा मंत्री पुरस्कारांचे नाव बदलतोय मठ्ठाड चोंगे म्हणतात बर झाल बदललं
6,-1,राधे राधे
7,-1,हरमी साले
8,1,इकॉनॉमिस्ट इकॉनॉमी यांचा काडीचा संबंध
9,-1,दिवसापूर्वी अल्फा च्या ट्विट वर चे पंतप्रधान त्यांचे सोबती हिंसेचे पुजारी यांचा व्यंग फोटो टाकला केलं डिलीट
10,-1,सारे बैंगर पेलु अकॉन्ट्स
11,-1,२ मिनिटे मला सोसायटी महाराष्ट्र परप्रांतीय ब्राह्मण सुशिक्षित व्यक्ती फडणवीस अडाणी चित्र उभे राहिले मला पहिले वाटले व्यंग मध्ये भारी टोमणा मारला नंतर तुमचा बायो पाहिला
12,-1,व्यंग कुत्र्यांच्या डोक्यावरून जाणारा
13,-1,काहीही म्हणा राहुल गांधींचा व्यंग अंदाज एकदम भारी
14,-1,आरटी दे भोसडीके
15,-1,आतापर्यंतचा सर्वात निष्क्रिय पी यम
16,-1,फेकू कोंबडा पायउतार होणे हीच मोठी मदत सध्यातरी
17,-1,प्रत्येकाला मत जुळणारे लोक आवडतात ट्विटर वर व्यंग च्या नावाखाली जास्तच टोमणे असतात
18,-1,तुझ्या सारखा रोजाने कामाला
19,-1,कोन शिकवणार जे सतरंज्या उचलुन ४० पैसे पर ट्वीट करणार शिकवणार मला स्वअनुभवातुन
20,-1,रे मला टाईम रिकामा तुझ्या सारखा तेव्हा एवढा वेळ घालवत नेट वर तुम्हा लोकांना वर्कर च ४० पैशाने पेमेंट चालु तेव्हा तुच कर
21,-1,फेक आयडी वाल्या ट्रोललर ला ४० पैसे पेंमेट मिळालं वाटतं
22,-1,आलास लायकी वरतीतुमच्याकडे मुद्देसूद बोलायला नसतं मं आयाबहिणींवर येतात यावरुनच कळतात संस्कार झालेच नाहीत स्वतःला शिवभक्त समजतात याला भंपक शिवभक्त बोलतातबिना आईबापाची पोरं असंच बोलणार अपेक्षीत तुझ्याकडूनकळाला
23,-1,तुला व्यंग सांगतो मग ऐक तुझ्या आईची शारीरिक जडणघडण वेगळीच कसा
24,-1,मला वाटतं व्यंग तुला कळत असो
25,-1,असाच किस्सा महाराष्ट्र मध्ये हॉस्टेल वर झालेला बायका पळवणारा समजून काँग्रेसच्या किरकोळ नेत्याला मारला व्यंग त्याच्याच बायकोने मारला आपण दखल घ्या
26,-1,मॉर्निंग प्रा
27,-1,कोन बांगर क्वीन
28,-1,गुड मॉर्निंग सर यही
29,-1,सत्य गुरुजी
30,-1,पाणी वळवून माथेरानला जायला पाहिजे
31,-1,बघ असं तुझं खरं बोलावं व्यंग म्हणे
32,-1,नाचता येईना अंगण वाकडे असंच वाटणार मग कोणती गाडी चांगली वाटते तितच जाऊन ज्ञान पाजळा
33,-1,बरोबर मग निवडून देताना नीट द्यावं ना कश्याला घटनेला जबाबदार ठरवायचं
34,-1,बापानं पोरासाठी किती कष्ट घ्या पोर शेवटी हेच म्हणत माझ्यासाठी केलंय संविधानाने तुम्हाला दिलंय पणतरीपण आमच्या फायदाच असाच तुणतुणं मिरवणार
35,-1,अहो शेठ घटना किती मोठी किती लहान यापेक्षा चालवणार्या च्या हातात असती आधी सांभाळा मग नाव ठेवा
36,-1,असती जगातील सर्वांत मोठी घटनाच नसती कधी मन मोठं दाखवा शेठ
37,-1,व्यंग च्या नावाखाली काहीपण बोलत
38,-1,जय शिव शंभू
39,-1,मला वाटतंय व्यंग ट्विट
40,-1,गुड मॉर्निंग मालिक
41,-1,मागच्या वेळी आपण शिवराज सिंग चौंहानांचा एडिट व्यंग तयार होताटिका कराय खर मंद बुद्धीचे शेणा कार्यकर्ते फोटो खरा समजून वरून सोबत हाथभर लेख लिहूनअभिमानान फिरवत होतेमी भरपूर ठिकाणी पाहिलंलय्
42,-1,त्याला व्यंग म्हणतात
43,-1,पुढच्या निवडणुकी द्वारे पुन्हा जनतेची सेवा करायला सांगितले जाते
44,-1,गुड मॉर्निंग किंग
45,-1,उपवासाचे खाऊन अजीर्ण होणे सगळ्यात मोठी व्यंग
46,-1,गुड नाईट
47,-1,उपवासाचां खाऊन अजीर्ण होणे वेगळीच व्यंग
48,-1,अरे याला व्यंग पद्धतीने समाचार घेणं म्हणतात
49,-1,त्यांच्या मरणाची ब्रेकिंग न्यूज जोवर श्वास तोवर त्यांचं अस्तित्वही नव्हतं
50,-1,बाय कींग बाबा
51,1,२ पर्याय सुचले मला १ मुंबईचे भौगोलिक स्थलांतरण करुया समुद्रापासून लांब २ जुलै महिन्याच्या सुरुवातीला मुंबईतील किनारपट्टीवर हीटर लावायचे जेणेकरुन मुंबईच्या आजुबाजूला जास्त्ं दाबाचा पट्टा निर्माण होऊन पावसाचे प्रमाण नियंत्रि
52,1,बातम्या पाहत होतो सगळीकडे मुंबई कशी तुंबली दाखवत अचानक जोरात उचकी लागायला लागली केल्या राहिणा आई ह्याचा नाव घ्यायला लागली कुणी आठवण काढली राहत नव्हती शेवटी मीच ९किमी ढगाची आठवण काढली आश्चर्य उचकी राहिली
53,-1,मराठी लिहायला शिक आगोदर मग चर्चा कर
54,-1,कुणाच्या मंगल प्रभात लोढाच्या प्रवीण दरेकरच्या चित्रा वाघ यांचे पती किशोर वाघच्या
